timestep,hour,outdoor_temp_c,avg_zone_temp_c,pmv,ppd_percent,energy_kwh,hvac_kw,run_type
1,8.5,28.51,22.45,-0.572,11.9,0.6407,0.225,baseline
2,9.0,29.63,22.57,-0.535,11.0,1.3487,0.285,baseline
3,9.5,29.07,22.8,-0.466,9.5,2.0227,0.4,baseline
4,10.0,30.76,23.03,-0.397,8.3,2.7985,0.515,baseline
5,10.5,30.8,23.3,-0.316,7.1,3.5766,0.65,baseline
